Molecule Name,SMILES,Carbon,COOH,pKa
Formic acid,O=CO,1,1,3.75
Acetic acid,CC(=O)O,2,1,4.76
Propionic acid,CCC(=O)O,3,1,4.88
Butyric acid,CCCC(=O)O,4,1,4.82
Isobutyric acid,CC(C)C(=O)O,4,1,4.84
Pivalic acid,CC(C)(C)C(=O)O,5,1,5.03
2-Methylbutyric acid,CCC(C)C(=O)O,5,1,4.8
Hexanoic acid,CCCCCC(=O)O,6,1,4.88
Heptanoic acid,CCCCCCC(=O)O,7,1,4.89
Nonanoic acid,CCCCCCCCC(=O)O,9,1,4.96
Decanoic acid,CCCCCCCCCC(=O)O,10,1,4.9
Valeric acid,CCCCC(=O)O,5,1,4.82
Dimethylbutyric acid,CCC(C)(C)C(=O)O,6,1,5.05
Oxalic acid,O=C(O)C(=O)O,2,2,1.25
Malonic acid,O=C(O)CC(=O)O,3,2,2.85
Succinic acid,OC(=O)CCC(=O)O,4,2,4.21
Glutaric acid,O=C(O)CCCC(=O)O,5,2,4.34
Adipic acid,OC(=O)CCCCC(=O)O,6,2,4.43
Tricarballylic acid,O=C(O)CC(CC(=O)O)C(=O)O,6,3,3.49
Citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O,6,3,3.13
Octanoic acid,CCCCCCCC(=O)O,8,1,4.89
3-Chlorobutanoic acid,CC(Cl)CC(=O)O,4,1,4.05
Iodoacetic acid,ICC(=O)O,2,1,3.16
Phenylglyoxylic acid,O=C(O)C(=O)c1ccccc1,8,1,2.15
